User Speed (m/s),Signal Strength (dBm),Battery Level (%),Network Congestion,Distance from Base Station (m),Handover Events,Power Consumption (mW),Transmission Power (dBm),Throughput (Mbps),Latency (ms),RF Link Quality
1.61,-110.36,69,High,788.9,0,731.8,30.0,1.0,129.07,Poor
1.67,-112.58,27,Low,898.12,0,731.35,30.0,3.04,77.09,Poor
2.12,-114.32,64,High,879.05,0,699.92,30.0,1.0,144.94,Poor
19.03,-106.71,22,Medium,798.92,3,749.09,30.0,1.0,101.13,Poor
2.17,-76.34,74,Medium,453.7,0,532.91,16.17,29.94,80.11,Moderate
25.53,-75.88,85,Medium,311.64,4,434.28,15.94,17.86,79.04,Moderate
1.0,-66.41,96,Medium,291.33,0,529.27,11.2,52.93,77.22,Moderate
9.67,-71.15,56,Medium,384.19,1,477.75,13.58,30.05,78.23,Moderate
1.27,-50.0,20,Low,136.61,0,535.7,5.0,100.94,19.16,Good
1.31,-67.16,65,High,351.23,0,473.12,11.58,19.48,103.92,Poor
9.9,-93.97,85,Low,621.26,0,674.09,24.99,15.96,43.14,Moderate
1.4,-82.09,50,Medium,521.46,0,539.72,19.04,26.99,90.69,Moderate
18.52,-85.6,60,Low,587.26,1,529.55,20.8,27.33,48.19,Moderate
1.59,-80.23,51,Medium,531.44,0,536.22,18.11,27.73,77.63,Moderate
2.65,-85.25,28,Medium,629.11,0,502.07,20.62,17.66,84.35,Moderate
0.62,-91.85,74,Low,551.61,0,785.37,23.92,44.06,60.1,Moderate
0.63,-89.67,50,High,552.5,0,491.41,22.84,1.0,116.94,Poor
21.3,-85.86,60,Low,554.71,3,541.87,20.93,18.94,45.8,Moderate
0.38,-70.48,78,Medium,444.07,0,424.62,13.24,38.84,75.88,Moderate
1.27,-92.83,65,Medium,586.07,0,611.75,24.42,17.18,89.59,Moderate
17.0,-70.85,34,Low,401.16,3,430.19,13.43,44.06,37.41,Good
0.57,-67.27,89,Low,285.23,0,476.61,11.63,76.54,30.5,Good
2.01,-80.27,78,Medium,450.55,0,508.24,18.13,37.68,73.19,Moderate
9.04,-79.41,52,Medium,502.2,0,554.82,17.7,14.07,91.23,Poor
10.23,-72.46,28,Low,433.77,1,493.37,14.23,44.4,45.82,Good
1.73,-113.63,53,Medium,938.97,0,712.02,30.0,1.0,101.16,Poor
0.1,-118.31,19,Low,985.23,0,475.85,30.0,2.96,71.17,Poor
1.96,-98.48,10,High,694.3,0,563.03,27.24,1.0,142.44,Poor
12.51,-62.7,42,Medium,191.43,1,585.73,9.35,36.76,72.21,Moderate
0.09,-99.05,66,Low,707.3,0,686.07,27.52,30.18,68.92,Moderate
2.24,-92.73,46,Low,601.72,0,679.99,24.37,31.7,47.74,Moderate
2.61,-77.59,74,Medium,426.29,0,550.89,16.8,38.68,78.01,Moderate
13.37,-81.06,27,Medium,531.69,1,539.25,18.53,11.73,76.84,Poor
11.35,-80.91,93,Low,551.53,2,497.18,18.46,39.45,48.41,Moderate
0.46,-82.1,64,Low,534.56,0,445.47,19.05,54.53,38.88,Good
0.45,-81.8,81,High,523.48,0,513.26,18.9,9.34,138.75,Poor
